province_state,country_region,last_update,confirmed,deaths,recovered,date_reported
Hubei,"Mainland China",2020-03-01T10:13:19,66907,2761,31536,03-01-2020
NULL,"South Korea",2020-03-01T23:43:03,3736,17,30,03-01-2020
NULL,Italy,2020-03-01T23:23:02,1694,34,83,03-01-2020
Guangdong,"Mainland China",2020-03-01T14:13:18,1349,7,1016,03-01-2020
Henan,"Mainland China",2020-03-01T14:13:18,1272,22,1198,03-01-2020
Zhejiang,"Mainland China",2020-03-01T10:13:33,1205,1,1046,03-01-2020
Hunan,"Mainland China",2020-03-01T10:03:03,1018,4,866,03-01-2020
Anhui,"Mainland China",2020-03-01T10:03:03,990,6,873,03-01-2020
NULL,Iran,2020-03-01T15:33:03,978,54,175,03-01-2020
Jiangxi,"Mainland China",2020-03-01T01:13:10,935,1,831,03-01-2020
Shandong,"Mainland China",2020-03-01T11:33:03,758,6,443,03-01-2020
"Diamond Princess cruise ship",Others,2020-02-29T01:43:02,705,6,10,03-01-2020
Jiangsu,"Mainland China",2020-03-01T10:03:03,631,0,536,03-01-2020
Chongqing,"Mainland China",2020-03-01T23:13:08,576,6,450,03-01-2020
Sichuan,"Mainland China",2020-03-01T11:43:02,538,3,365,03-01-2020
Heilongjiang,"Mainland China",2020-03-01T11:33:03,480,13,342,03-01-2020
Beijing,"Mainland China",2020-03-01T02:53:03,413,8,276,03-01-2020
Shanghai,"Mainland China",2020-03-01T07:13:07,337,3,290,03-01-2020
Hebei,"Mainland China",2020-03-01T14:13:18,318,6,294,03-01-2020
Fujian,"Mainland China",2020-03-01T09:43:03,296,1,247,03-01-2020
NULL,Japan,2020-03-01T23:33:03,256,6,32,03-01-2020
Guangxi,"Mainland China",2020-03-01T09:43:03,252,2,181,03-01-2020
Shaanxi,"Mainland China",2020-03-01T09:43:03,245,1,208,03-01-2020
Yunnan,"Mainland China",2020-03-01T07:13:07,174,2,163,03-01-2020
Hainan,"Mainland China",2020-03-01T10:13:38,168,5,149,03-01-2020
Guizhou,"Mainland China",2020-02-27T00:43:02,146,2,112,03-01-2020
Tianjin,"Mainland China",2020-03-01T12:43:02,136,3,111,03-01-2020
Shanxi,"Mainland China",2020-03-01T23:13:08,133,0,116,03-01-2020
NULL,France,2020-03-01T20:43:02,130,2,12,03-01-2020
NULL,Germany,2020-03-01T23:23:02,130,0,16,03-01-2020
Liaoning,"Mainland China",2020-03-01T12:23:06,122,1,103,03-01-2020
NULL,Singapore,2020-03-01T23:23:02,106,0,72,03-01-2020
"Hong Kong","Hong Kong",2020-03-01T14:33:16,96,2,36,03-01-2020
Jilin,"Mainland China",2020-03-01T09:43:03,93,1,78,03-01-2020
Gansu,"Mainland China",2020-03-01T14:33:17,91,2,84,03-01-2020
NULL,Spain,2020-03-01T23:33:03,84,0,2,03-01-2020
Xinjiang,"Mainland China",2020-03-01T10:03:03,76,3,64,03-01-2020
"Inner Mongolia","Mainland China",2020-03-01T10:03:03,75,0,52,03-01-2020
Ningxia,"Mainland China",2020-02-29T05:53:02,73,0,69,03-01-2020
NULL,Bahrain,2020-03-01T23:33:03,47,0,0,03-01-2020
NULL,Kuwait,2020-02-28T16:23:03,45,0,0,03-01-2020
"Unassigned Location (From Diamond Princess)",US,2020-02-28T20:03:03,44,0,0,03-01-2020
NULL,Thailand,2020-03-01T07:13:07,42,1,28,03-01-2020
Taiwan,Taiwan,2020-03-01T07:43:01,40,1,9,03-01-2020
NULL,UK,2020-03-01T23:23:02,36,0,8,03-01-2020
NULL,Malaysia,2020-03-01T12:53:02,29,0,18,03-01-2020
NULL,Switzerland,2020-03-01T23:23:02,27,0,0,03-01-2020
NULL,"United Arab Emirates",2020-02-29T12:33:03,21,0,5,03-01-2020
NULL,Iraq,2020-03-01T16:43:02,19,0,0,03-01-2020
NULL,Norway,2020-03-01T20:43:02,19,0,0,03-01-2020
Qinghai,"Mainland China",2020-02-21T04:43:02,18,0,18,03-01-2020
NULL,Vietnam,2020-02-25T08:53:02,16,0,16,03-01-2020
NULL,Austria,2020-03-01T23:33:03,14,0,0,03-01-2020
"Toronto, ON",Canada,2020-03-01T23:33:03,14,0,2,03-01-2020
NULL,Sweden,2020-03-01T23:23:02,14,0,0,03-01-2020
NULL,Israel,2020-03-01T23:23:02,10,0,1,03-01-2020
NULL,Lebanon,2020-03-01T15:33:03,10,0,0,03-01-2020
Macau,Macau,2020-02-27T12:43:02,10,0,8,03-01-2020
NULL,Netherlands,2020-03-01T15:33:03,10,0,0,03-01-2020
Queensland,Australia,2020-02-29T02:03:10,9,0,1,03-01-2020
"Seattle, WA",US,2020-03-01T21:13:12,9,1,1,03-01-2020
"British Columbia",Canada,2020-02-29T23:23:13,8,0,3,03-01-2020
Victoria,Australia,2020-02-29T02:03:10,7,0,4,03-01-2020
NULL,Croatia,2020-03-01T23:33:03,7,0,0,03-01-2020
NULL,Greece,2020-03-01T23:23:02,7,0,0,03-01-2020
"New South Wales",Australia,2020-03-01T23:33:03,6,0,4,03-01-2020
NULL,Ecuador,2020-03-01T23:33:03,6,0,0,03-01-2020
NULL,Finland,2020-03-01T23:23:02,6,0,1,03-01-2020
NULL,Oman,2020-02-29T12:33:03,6,0,1,03-01-2020
NULL,Mexico,2020-03-01T23:33:03,5,0,0,03-01-2020
NULL,Denmark,2020-03-01T23:33:03,4,0,0,03-01-2020
NULL,Pakistan,2020-02-29T18:03:05,4,0,0,03-01-2020
"South Australia",Australia,2020-02-29T02:03:10,3,0,2,03-01-2020
NULL,Azerbaijan,2020-03-01T02:43:03,3,0,0,03-01-2020
NULL,"Czech Republic",2020-03-01T15:53:06,3,0,0,03-01-2020
NULL,Georgia,2020-03-01T15:43:03,3,0,0,03-01-2020
NULL,Iceland,2020-03-01T23:33:03,3,0,0,03-01-2020
NULL,India,2020-02-16T07:43:02,3,0,3,03-01-2020
NULL,Philippines,2020-02-12T07:43:02,3,1,1,03-01-2020
NULL,Qatar,2020-03-01T23:33:03,3,0,0,03-01-2020
NULL,Romania,2020-02-28T15:33:03,3,0,0,03-01-2020
"Chicago, IL",US,2020-03-01T03:53:02,3,0,2,03-01-2020
"Santa Clara, CA",US,2020-02-29T01:33:03,3,0,1,03-01-2020
"Western Australia",Australia,2020-03-01T02:43:03,2,1,0,03-01-2020
NULL,Belgium,2020-03-01T12:43:02,2,0,1,03-01-2020
NULL,Brazil,2020-02-29T21:03:05,2,0,0,03-01-2020
NULL,Egypt,2020-03-01T23:33:03,2,0,1,03-01-2020
NULL,Russia,2020-02-12T14:43:03,2,0,2,03-01-2020
"Sacramento County, CA",US,2020-02-27T20:33:02,2,0,0,03-01-2020
"San Benito, CA",US,2020-02-03T03:53:02,2,0,0,03-01-2020
"San Diego County, CA",US,2020-02-21T05:43:02,2,0,1,03-01-2020
"Snohomish County, WA",US,2020-03-01T20:23:06,2,0,0,03-01-2020
NULL,Afghanistan,2020-02-24T23:33:02,1,0,0,03-01-2020
NULL,Algeria,2020-02-25T23:43:03,1,0,0,03-01-2020
NULL,Armenia,2020-03-01T19:53:02,1,0,0,03-01-2020
NULL,Belarus,2020-02-28T16:23:03,1,0,0,03-01-2020
NULL,Cambodia,2020-02-12T07:43:02,1,0,1,03-01-2020
" Montreal, QC",Canada,2020-02-28T05:23:07,1,0,0,03-01-2020
"London, ON",Canada,2020-02-12T18:53:03,1,0,1,03-01-2020
NULL,"Dominican Republic",2020-03-01T16:03:06,1,0,0,03-01-2020
NULL,Estonia,2020-02-27T16:23:03,1,0,0,03-01-2020
NULL,Ireland,2020-03-01T07:13:07,1,0,0,03-01-2020
NULL,Lithuania,2020-02-28T16:23:03,1,0,0,03-01-2020
NULL,Luxembourg,2020-03-01T07:13:07,1,0,0,03-01-2020
Tibet,"Mainland China",2020-02-12T06:43:02,1,0,1,03-01-2020
NULL,Monaco,2020-02-29T00:33:01,1,0,0,03-01-2020
NULL,Nepal,2020-02-12T14:43:03,1,0,1,03-01-2020
NULL,"New Zealand",2020-02-28T16:23:03,1,0,0,03-01-2020
NULL,Nigeria,2020-02-28T16:23:03,1,0,0,03-01-2020
NULL,"North Macedonia",2020-02-27T16:23:03,1,0,0,03-01-2020
NULL,"San Marino",2020-03-01T07:13:07,1,0,0,03-01-2020
NULL,"Sri Lanka",2020-02-08T03:43:03,1,0,1,03-01-2020
"Boston, MA",US,2020-02-28T21:13:12,1,0,1,03-01-2020
"Humboldt County, CA",US,2020-02-21T05:13:09,1,0,0,03-01-2020
"Los Angeles, CA",US,2020-02-01T19:53:03,1,0,0,03-01-2020
"Madison, WI",US,2020-02-05T21:53:02,1,0,0,03-01-2020
"Orange, CA",US,2020-02-01T19:53:03,1,0,0,03-01-2020
"Portland, OR",US,2020-02-29T02:23:11,1,0,0,03-01-2020
"Providence, RI",US,2020-03-01T15:33:03,1,0,0,03-01-2020
"San Antonio, TX",US,2020-02-13T18:53:02,1,0,0,03-01-2020
"Tempe, AZ",US,2020-02-25T21:23:03,1,0,1,03-01-2020
"From Diamond Princess",Australia,2020-02-29T02:03:10,0,0,0,03-01-2020
"Lackland, TX (From Diamond Princess)",US,2020-02-24T23:33:02,0,0,0,03-01-2020
"Omaha, NE (From Diamond Princess)",US,2020-02-24T23:33:02,0,0,0,03-01-2020
"Travis, CA (From Diamond Princess)",US,2020-02-24T23:33:02,0,0,0,03-01-2020
Hubei,"Mainland China",2020-03-02T15:03:23,67103,2803,33934,03-02-2020
NULL,"South Korea",2020-03-02T20:23:16,4335,28,30,03-02-2020
NULL,Italy,2020-03-02T20:23:16,2036,52,149,03-02-2020
NULL,Iran,2020-03-02T20:23:16,1501,66,291,03-02-2020
Guangdong,"Mainland China",2020-03-02T15:03:23,1350,7,1059,03-02-2020
Henan,"Mainland China",2020-03-02T11:43:03,1272,22,1205,03-02-2020
Zhejiang,"Mainland China",2020-03-02T11:43:03,1206,1,1069,03-02-2020
Hunan,"Mainland China",2020-03-02T11:43:03,1018,4,887,03-02-2020
Anhui,"Mainland China",2020-03-02T15:03:23,990,6,917,03-02-2020
Jiangxi,"Mainland China",2020-03-02T01:33:02,935,1,850,03-02-2020
Shandong,"Mainland China",2020-03-02T08:03:12,758,6,460,03-02-2020
"Diamond Princess cruise ship",Others,2020-03-02T14:33:03,705,6,10,03-02-2020
Jiangsu,"Mainland China",2020-03-02T12:53:02,631,0,543,03-02-2020
Chongqing,"Mainland China",2020-03-02T23:23:02,576,6,469,03-02-2020
Sichuan,"Mainland China",2020-03-02T15:03:23,538,3,386,03-02-2020
Heilongjiang,"Mainland China",2020-03-02T12:53:02,480,13,356,03-02-2020
Beijing,"Mainland China",2020-03-02T02:13:16,414,8,282,03-02-2020
Shanghai,"Mainland China",2020-03-02T04:03:13,337,3,292,03-02-2020
Hebei,"Mainland China",2020-03-02T09:43:05,318,6,296,03-02-2020
